"filename", "language", "JSON", "Python", "TypeScript", "MS SQL", "Log", "vue", "comment", "blank", "total"
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, -8, 0, -8
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\error-book\error-book.vue", "vue", 0, 0, 0, 0, 0, 71, 0, 11, 82
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\index\index.vue", "vue", 0, 0, 0, 0, 0, -23, 0, -2, -25
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\lobby\lobby.vue", "vue", 0, 0, 0, 0, 0, 25, 0, 2, 27
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\login\login.vue", "vue", 0, 0, 0, 0, 0, 23, 0, 5, 28
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\practice\practice.vue", "vue", 0, 0, 0, 0, 0, 127, 0, 21, 148
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\profile\profile.vue", "vue", 0, 0, 0, 0, 0, 88, 0, 12, 100
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\register\register.vue", "vue", 0, 0, 0, 0, 0, 56, 0, 8, 64
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\utils\api.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 7, 11, 63
"c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\auth.py", "Python", 0, 17, 0, 0, 0, 0, 3, 4, 24
"c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\error_book.py", "Python", 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\practice.py", "Python", 0, 24, 0, 0, 0, 0, 0, 6, 30
"c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\users.py", "Python", 0, -12, 0, 0, 0, 0, -2, 0, -14
"c:\Users\yjq\Desktop\myproject\project_back\app\core\error_handlers.py", "Python", 0, 49, 0, 0, 0, 0, 7, 7, 63
"c:\Users\yjq\Desktop\myproject\project_back\app\core\exceptions.py", "Python", 0, 20, 0, 0, 0, 0, 1, 6, 27
"c:\Users\yjq\Desktop\myproject\project_back\app\main.py", "Python", 0, 2, 0, 0, 0, 0, -1, -1, 0
"c:\Users\yjq\Desktop\myproject\project_back\app\models\__init__.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yjq\Desktop\myproject\project_back\app\models\error_book.py", "Python", 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\yjq\Desktop\myproject\project_back\app\models\exam_attempt.py", "Python", 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\yjq\Desktop\myproject\project_back\app\models\paper.py", "Python", 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\yjq\Desktop\myproject\project_back\app\models\paper_question.py", "Python", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\yjq\Desktop\myproject\project_back\app\models\question.py", "Python", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\yjq\Desktop\myproject\project_back\app\models\question_version.py", "Python", 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\yjq\Desktop\myproject\project_back\app\models\role.py", "Python", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\yjq\Desktop\myproject\project_back\app\models\user.py", "Python", 0, -1, 0, 0, 0, 0, 0, 1, 0
"c:\Users\yjq\Desktop\myproject\project_back\app\models\user_answer.py", "Python", 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\yjq\Desktop\myproject\project_back\app\models\user_role.py", "Python", 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\yjq\Desktop\myproject\project_back\app\schemas\error_book.py", "Python", 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\yjq\Desktop\myproject\project_back\app\schemas\practice.py", "Python", 0, 32, 0, 0, 0, 0, 0, 7, 39
"c:\Users\yjq\Desktop\myproject\project_back\app\schemas\user.py", "Python", 0, 40, 0, 0, 0, 0, 1, 9, 50
"c:\Users\yjq\Desktop\myproject\project_back\app\services\auth_service.py", "Python", 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\yjq\Desktop\myproject\project_back\app\services\error_book_service.py", "Python", 0, 35, 0, 0, 0, 0, 1, 5, 41
"c:\Users\yjq\Desktop\myproject\project_back\app\services\practice_service.py", "Python", 0, 209, 0, 0, 0, 0, 5, 33, 247
"c:\Users\yjq\Desktop\myproject\project_back\app\services\user_service.py", "Python", 0, 98, 0, 0, 0, 0, 7, 26, 131
"c:\Users\yjq\Desktop\myproject\project_back\logs\app.log", "Log", 0, 0, 0, 0, 866, 0, 0, 19, 885
"c:\Users\yjq\Desktop\myproject\project_back\sql\seed_practice.sql", "MS SQL", 0, 0, 0, 35, 0, 0, 7, 10, 52
"Total", "-", 30, 696, 45, 35, 866, 367, 28, 224, 2291
