"filename", "language", "JSON with Comments", "MS SQL", "JSON", "TypeScript", "JavaScript", "vue", "SCSS", "Python", "Log", "Ini", "HTML", "comment", "blank", "total"
"c:\Users\yjq\Desktop\myproject\frontend-mp\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 2, 1, 21
"c:\Users\yjq\Desktop\myproject\frontend-mp\package-lock.json", "JSON", 0, 0, 11026, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11027
"c:\Users\yjq\Desktop\myproject\frontend-mp\package.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\yjq\Desktop\myproject\frontend-mp\shims-uni.d.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\App.vue", "vue", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\main.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\manifest.json", "JSON", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages.json", "JSON", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\error-book\error-book.vue", "vue", 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 3, 27, 243
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\index\index.vue", "vue", 0, 0, 0, 0, 0, 334, 0, 0, 0, 0, 0, 8, 35, 377
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\lobby\lobby.vue", "vue", 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 18, 156
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\login\login.vue", "vue", 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 30, 224
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\practice\practice.vue", "vue", 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 6, 23, 328
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\profile\profile.vue", "vue", 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 0, 5, 24, 256
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\question-bank\question-bank.vue", "vue", 0, 0, 0, 0, 0, 387, 0, 0, 0, 0, 0, 0, 31, 418
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\question-detail\question-detail.vue", "vue", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 11, 113
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\question-edit\question-edit.vue", "vue", 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 1, 19, 210
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\register\register.vue", "vue", 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 28, 225
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\user-detail\user-detail.vue", "vue", 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 5, 19, 200
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\shime-uni.d.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\types\env.d.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\uni.scss", "SCSS", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 25, 14, 76
"c:\Users\yjq\Desktop\myproject\frontend-mp\src\utils\api.ts", "TypeScript", 0, 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 19, 37, 318
"c:\Users\yjq\Desktop\myproject\frontend-mp\tsconfig.json", "JSON with Comments", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\yjq\Desktop\myproject\frontend-mp\vite.config.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\yjq\Desktop\myproject\myproject.code-workspace", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\yjq\Desktop\myproject\project_back\alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 27, 148
"c:\Users\yjq\Desktop\myproject\project_back\alembic\env.py", "Python", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 5, 9, 65
"c:\Users\yjq\Desktop\myproject\project_back\alembic\versions\94040048a275_add_last_login_at_to_user.py", "Python", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 14, 7, 49
"c:\Users\yjq\Desktop\myproject\project_back\alembic\versions\aeec0cd06ff3_add_auth_fields_to_user.py", "Python", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 14, 7, 51
"c:\Users\yjq\Desktop\myproject\project_back\alembic\versions\b3d874edf9d3_set_default_for_version_no_on_question_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 10, 8, 29
"c:\Users\yjq\Desktop\myproject\project_back\alembic\versions\c5da4433a51d_baseline.py", "Python", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10, 6, 26
"c:\Users\yjq\Desktop\myproject\project_back\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yjq\Desktop\myproject\project_back\app\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 3, 11
"c:\Users\yjq\Desktop\myproject\project_back\app\api\deps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 8, 91
"c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\auth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 6, 7, 48
